"v_products_model"~"v_status"~"v_products_name_3"~"v_products_description_3"~"v_products_image"~"v_products_price"~"v_products_quantity"~"v_products_weight"~"v_categories_image_1"~"v_categories_name_1_3"~"v_categories_image_2"~"v_categories_name_2_3"~"v_manufacturers_name"~"v_tax_class_title"~"EOREOR"
17220~"Active"~"TENGA 3D MODULE SCULPTED ECSTASY"~"<p>
"~"products/SECRET_PLAY_ONDAS_DE_PRAZER_VERDE.jpg"~"20.35"~13~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17267~"Active"~"SECRET PLAY ONDAS DE PRAZER LILA"~"<p>
	Vibrador de silicona de tama&ntilde;o reducido.<br />
	<br />
	Es compacto, flexible, suave y liso, con 3 velocidades de vibraci&oacute;n.<br />
	<br />
	Funciona con 1 pila LR1 que va incluida.<br />
	<br />
	Medidas: 8 cm.</p>
"~"products/SECRET_PLAY_ONDAS_DE_PRAZER_LILA2.jpg"~"20.35"~5~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17269~"Active"~"SECRET PLAY ONDAS DE PRAZER AMARILLO"~"<p>
	Vibrador de silicona de tama&ntilde;o reducido.<br />
	<br />
	Es compacto, flexible, suave y liso, con 3 velocidades de vibraci&oacute;n.<br />
	<br />
	Funciona con 1 pila LR1 que va incluida.<br />
	<br />
	Medidas: 8 cm.</p>
"~"products/SECRET_PLAY_ONDAS_DE_PRAZER_AMARILLO.jpg"~"20.35"~9~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17271~"Active"~"SECRET PLAY TIERNO PRAZER DELFIN FUCSIA"~"<p>
	Vibrador de silicona con forma de delf&iacute;n.<br />
	<br />
	Es compacto, flexible, suave y liso, con 3 velocidades de vibraci&oacute;n.<br />
	<br />
	Funciona con 1 pila LR1 que va incluida.<br />
	<br />
	Medidas: 8 cm.</p>
"~"products/SECRET_PLAY_TIERNO_PRAZER_DELFIN_FUCSIA.jpg"~"20.35"~1~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17273~"Active"~"SECRET PLAY TIERNO PRAZER DELFIN ROJO"~"<p>
	Vibrador de silicona con forma de delf&iacute;n.<br />
	<br />
	Es compacto, flexible, suave y liso, con 3 velocidades de vibraci&oacute;n.<br />
	<br />
	Funciona con 1 pila LR1 que va incluida.<br />
	<br />
	Medidas: 8 cm.</p>
"~"products/SECRET_PLAY_TIERNO_PRAZER_DELFIN_ROJO.jpg"~"20.35"~12~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17276~"Active"~"SECRET PLAY BOLIGRAFO PERFUME DE MUJER CON FEROMONAS"~"<p>
	Estimula el deseo natural, esfuerza la sensualidad y contribuye a un estado emocional y humor positivo.<br />
	<br />
	Las Feromonas no son visibles a simple vista. Son aromas er&oacute;ticos y naturales que tienen un efecto psicol&oacute;gico despertador de deseo sexual. Con el olor del cuerpo, nosotros inconscientemente recibimos un sentido especial de un hombre o una mujer.<br />
	<br />
	Gracias al Perfume de Hombre con Feromonas estimulas el deseo de forma natural para humanos. El de hombres tiene un perfume musgoso, mientras que el de mujer dispersan un perfume dulce y delicado.<br />
	<br />
	Formato bol&iacute;grafo muy discreto y c&oacute;modo de llevar siempre encima.<br />
	<br />
	Envase de 8 ml.</p>
"~"products/SECRET_PLAY_BOLIGRAFO_PERFUME_DE_MUJER_CON_FEROMONAS.jpg"~"17.95"~49~"0.5"~~"AFRODISIACOS"~~"PERFUMES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17277~"Active"~"SECRET PLAY BOLIGRAFO PERFUME DE HOMBRE CON FEROMONAS"~"<p>
	Estimula el deseo natural, esfuerza la sensualidad y contribuye a un estado emocional y humor positivo.<br />
	<br />
	Las Feromonas no son visibles a simple vista. Son aromas er&oacute;ticos y naturales que tienen un efecto psicol&oacute;gico despertador de deseo sexual. Con el olor del cuerpo, nosotros inconscientemente recibimos un sentido especial de un hombre o una mujer.<br />
	<br />
	Gracias al Perfume de Hombre con Feromonas estimulas el deseo de forma natural para humanos. El de hombres tiene un perfume musgoso, mientras que el de mujer dispersan un perfume dulce y delicado.<br />
	<br />
	Formato bol&iacute;grafo muy discreto y c&oacute;modo de llevar siempre encima.<br />
	<br />
	Envase de 8 ml.</p>
"~"products/SECRET_PLAY_BOLIGRAFO_PERFUME_DE_HOMBRE_CON_FEROMONAS.jpg"~"17.95"~50~"0.5"~~"AFRODISIACOS"~~"PERFUMES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17278~"Active"~"69 POSTURAS DEL KAMASUTRA PARA JUGAR Y... GOZAR"~"<p>
	Goza con las pr&aacute;cticas sexuales m&aacute;s inconfesables.</p>
<p>
	Original y atrevido, provocativo y directo, inteligente y sincero, 69 POSTURAS DEL KAMASUTRA PARA JUGAR Y... GOZAR&nbsp; penetra a fondo -y hasta las &uacute;ltimas consecuencias- en el lado oculto del sexo y la mente.</p>
<p>
	Los prejuicios creados por siglos de tab&uacute;es y la represi&oacute;n originada desde la infancia y la adolescencia encuentran una salida natural y sin inhibiciones en estas p&aacute;ginas, que abordan todas aquellas pr&aacute;cticas sexuales que nadie se atreve a contar por miedo al qu&eacute; dir&aacute;n, pero de las que muchos gozan.</p>
<p>
	Con un lenguaje claro, coloquial y moderno, este libro explica las pr&aacute;cticas m&aacute;s provocativas y picantes para ense&ntilde;arnos a obtener el m&aacute;ximo placer de ellas.</p>
"~"products/69_POSTURAS_DEL_KAMASUTRA_PARA_JUGAR_Y..._GOZAR.jpg"~"13.55"~50~"0.5"~~"DIVERTIDOS"~~"LIBROS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
17279~"Active"~"LABIOS GOLOSINA DE FRESA"~"<p>
	Golosina con forma de labios de caramelo masticable sabor de fresa.<br />
	<br />
	Fabricado en Espa&ntilde;a utilizando los mejores ingredientes y sobre todo, hecho para disfrutar de un momento dulce y divertido.</p>
"~"products/LABIOS_GOLOSINA_DE_FRESA.jpg"~"3.75"~48~"0.5"~~"DIVERTIDOS"~~"COMESTIBLES"~"FEMARVI"~"IVA (Reducido)"~"EOREOR"
17280~"Active"~"PENE GOLOSINA DE FRESA"~"<p>
	Golosina con forma de pene de caramelo masticable sabor a fresa.<br />
	<br />
	Fabricado en Espa&ntilde;a utilizando los mejores ingredientes y sobre todo, hecho para disfrutar de un momento dulce y divertido.</p>
"~"products/PENE_GOLOSINA_DE_FRESA.jpg"~"3.75"~50~"0.5"~~"DIVERTIDOS"~~"COMESTIBLES"~"FEMARVI"~"IVA (Reducido)"~"EOREOR"
17281~"Active"~"PAJITAS SEXYS FORMA DE PECHOS"~"<p>
	Divi&eacute;rtete con tus amigos o a solas con tu pareja, con estas divertidas pajitas con pene en la parte superior...<br />
	<br />
	Alegra tus cenas, c&oacute;cteles y bebidas.<br />
	<br />
	Incluye 5 unidades.</p>
"~"products/PAJITAS_SEXYS_FORMA_DE_PECHOS.jpg"~"6.75"~15~"0.5"~~"DIVERTIDOS"~~"PAJITAS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
17282~"Active"~"PAJITAS SEXYS FORMA DE PENE"~"<p>
	Divi&eacute;rtete con tus amigos o a solas con tu pareja, con estas divertidas pajitas con pene en la parte superior...<br />
	<br />
	Alegra tus cenas, c&oacute;cteles y bebidas.<br />
	<br />
	Incluye 5 unidades.</p>
"~"products/PAJITAS_SEXYS_FORMA_DE_PENE.jpg"~"6.75"~40~"0.5"~~"DIVERTIDOS"~~"PAJITAS"~"FEMARVI"~"IVA (Normal)"~"EOREOR"
17283~"Active"~"SECRET PLAY PLUS GLAMOUR PERFUME DE SABANAS CON FEROMONAS"~"<p>
	La l&iacute;nea de Perfumes con Feromonas Vegetales que Secret Play ha desarrollado (para Mujer, Hombre y Perfume de S&aacute;banas) despiertan en la persona que se desea conquistar, una necesidad irresistible de un contacto er&oacute;tico.</p>
<p>
	Las part&iacute;culas biol&oacute;gicas de las feromonas, a trav&eacute;s del aroma, estimulan el deseo sexual de forma natural: Una atracci&oacute;n irresistible para tu pareja.<br />
	<br />
	No mezclar con ning&uacute;n otro perfume. Producto cosm&eacute;tico de uso externo.<br />
	<br />
	Envase de 30 ml.</p>
"~"products/SECRET_PLAY_PLUS_GLAMOUR_PERFUME_DE_SABANAS_CON_FEROMONAS.jpg"~"33.25"~13~"0.5"~~"VARIOS"~~"AROMATIZADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17284~"Active"~"SECRET PLAY PLUS GLAMOUR PERFUME DE MUJER CON FEROMONAS"~"<p>
	La l&iacute;nea de Perfumes con Feromonas Vegetales que Secret Play ha desarrollado (para Mujer, Hombre y Perfume de S&aacute;banas) despiertan en la persona que se desea conquistar, una necesidad irresistible de un contacto er&oacute;tico.</p>
<p>
	Las part&iacute;culas biol&oacute;gicas de las feromonas, a trav&eacute;s del aroma, estimulan el deseo sexual de forma natural: Una atracci&oacute;n irresistible para tu pareja.<br />
	<br />
	No mezclar con ning&uacute;n otro perfume. Producto cosm&eacute;tico de uso externo.<br />
	<br />
	Envase de 30 ml.</p>
"~"products/SECRET_PLAY_PLUS_GLAMOUR_PERFUME_DE_MUJER_CON_FEROMONAS.jpg"~"33.25"~12~"0.5"~~"AFRODISIACOS"~~"PERFUMES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17285~"Active"~"SECRET PLAY PLUS GLAMOUR PERFUME DE HOMBRE CON FEROMONAS"~"<p>
	La l&iacute;nea de Perfumes con Feromonas Vegetales que Secret Play ha desarrollado (para Mujer, Hombre y Perfume de S&aacute;banas) despiertan en la persona que se desea conquistar, una necesidad irresistible de un contacto er&oacute;tico.</p>
<p>
	Las part&iacute;culas biol&oacute;gicas de las feromonas, a trav&eacute;s del aroma, estimulan el deseo sexual de forma natural: Una atracci&oacute;n irresistible para tu pareja.<br />
	<br />
	No mezclar con ning&uacute;n otro perfume. Producto cosm&eacute;tico de uso externo.<br />
	<br />
	Envase de 30 ml.</p>
"~"products/SECRET_PLAY_PLUS_GLAMOUR_PERFUME_DE_HOMBRE_CON_FEROMONAS.jpg"~"33.25"~13~"0.5"~~"AFRODISIACOS"~~"PERFUMES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17286~"Active"~"SECRET PLAY PLUS AMOUR PROLONGADOR DEL PLACER"~"<p>
	Este Retardante para el PENE, aplicado antes de la relaci&oacute;n sexual, tiene un efecto de insensibilizaci&oacute;n de la zona local, que le permitir&aacute; disfrutar de una relaci&oacute;n m&aacute;s duradera y. as&iacute;, prolongar tanto su placer como el de su pareja:<br />
	Un viaje seguro hacia un orgasmo m&aacute;s intenso y satisfactorio.<br />
	<br />
	F&oacute;rmula compatible con el l&aacute;tex. Producto cosm&eacute;tico.<br />
	<br />
	Envase de 15 ml.</p>
"~"products/SECRET_PLAY_PLUS_AMOUR_PROLONGADOR_DEL_PLACER.jpg"~"27.85"~5~"0.5"~~"AFRODISIACOS"~~"CREMAS RETARDANTES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17287~"Active"~"SECRET PLAY PLUS AMOUR ESTIMULADOR SEXUAL FEMENINO"~"<p>
	La completa l&iacute;nea de estimuladores Secret Play, para cl&iacute;toris, pezones, punto G y pene, contribuyen a una relaci&oacute;n de pareja m&aacute;s intensa y satisfactoria. Intensifican la circulaci&oacute;n sangu&iacute;nea en la zona, aumentan la sensibilidad y el deseo sexual y prolongan la relaci&oacute;n de pareja.</p>
<p>
	Contribuyen al juego de los preliminares er&oacute;ticos y son ideales para descubrir sensaciones inimaginables de placer: un intenso viaje hacia el orgasmo.<br />
	<br />
	F&oacute;rmula compatible con el l&aacute;tex. Producto cosm&eacute;tico.<br />
	<br />
	Envase de 15 ml.</p>
"~"products/SECRET_PLAY_PLUS_AMOUR_ESTIMULADOR_SEXUAL_FEMENINO.jpg"~"27.85"~6~"0.5"~~"AFRODISIACOS"~~"CREMAS FEMENINAS"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17288~"Active"~"SECRET PLAY LOCION CORPORAL PIEL DE SEDA CLEOPATRA"~"<p>
	Una invitaci&oacute;n a la sensualidad y al deseo. Esta loci&oacute;n contiene fragancias que atraen al sexo opuesto.</p> <p>Despu&eacute;s de extender una fina capa sobre la piel, &eacute;sta adquiere un tacto y una textura, en apariencia, igual a la seda. Esta combinaci&oacute;n de sensualidad y sofisticaci&oacute;n se entrelazan con delicadeza, sugiriendo experiencias &uacute;nicas y ofreciendo momentos especiales.<br />
	.<br />
	Producto cosm&eacute;tico.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_LOCION_CORPORAL_PIEL_DE_SEDA_CLEOPATRA.jpg"~"33.25"~18~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17289~"Active"~"SECRET PLAY LOCION CORPORAL PIEL DE SEDA VENUS"~"<p>
	Es una invitaci&oacute;n a la sensualidad y al deseo.</p>
<p>
	Esta loci&oacute;n contiene fragancias que atraen al sexo opuesto. Despu&eacute;s de extender una fina capa sobre la piel, &eacute;sta adquiere un tacto y una textura, en apariencia, igual a la seda. Esta combinaci&oacute;n de sensualidad y sofisticaci&oacute;n se entrelazan con delicadeza, sugiriendo experiencias &uacute;nicas y ofreciendo momentos especiales.<br />
	.<br />
	Producto cosm&eacute;tico.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_LOCION_CORPORAL_PIEL_DE_SEDA_VENUS.jpg"~"33.25"~5~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17290~"Active"~"SECRET PLAY LOCION CORPORAL PIEL DE SEDA AMAZONA"~"<p>
	Es una invitaci&oacute;n a la sensualidad y al deseo. Esta loci&oacute;n contiene fragancias que atraen al sexo opuesto.</p>
<p>
	Despu&eacute;s de extender una fina capa sobre la piel, &eacute;sta adquiere un tacto y una textura, en apariencia, igual a la seda. Esta combinaci&oacute;n de sensualidad y sofisticaci&oacute;n se entrelazan con delicadeza, sugiriendo experiencias &uacute;nicas y ofreciendo momentos especiales.<br />
	.<br />
	Producto cosm&eacute;tico.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_LOCION_CORPORAL_PIEL_DE_SEDA_AMAZONA.jpg"~"33.25"~25~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17291~"Active"~"SECRET PLAY LOCION CORPORAL PIEL DE SEDA AFRODITA"~"<p>
	Es una invitaci&oacute;n a la sensualidad y al deseo.</p>
<p>
	Esta loci&oacute;n contiene fragancias que atraen al sexo opuesto. Despu&eacute;s de extender una fina capa sobre la piel, &eacute;sta adquiere un tacto y una textura, en apariencia, igual a la seda. Esta combinaci&oacute;n de sensualidad y sofisticaci&oacute;n se entrelazan con delicadeza, sugiriendo experiencias &uacute;nicas y ofreciendo momentos especiales.<br />
	.<br />
	Producto cosm&eacute;tico.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_LOCION_CORPORAL_PIEL_DE_SEDA_AFRODITA.jpg"~"33.25"~2~"0.5"~~"ACEITES Y LUBRICANTES"~~"CUIDADO DEL CUERPO"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17292~"Active"~"SECRET PLAY PLUS PLAISIR LUBRICANTE CON ALOE VERA CANELA"~"<p>
	El ALOE VERA es conocida como la planta de la salud y la belleza. Su uso est&aacute; documentado desde la &eacute;poca del antiguo Egipto.</p>
<p>
	Es muy beneficioso en t&eacute;rminos medicinales y terap&eacute;uticos y una especie que posee innumerables propiedades regeneradoras, hidratantes y nutritivas. Rico en &aacute;cidos grasos, es un excelente lubricante natural que aumenta adem&aacute;s la potencia sexual.</p>
<p>
	Sus propiedades estimulantes provocan la activaci&oacute;n de la circulaci&oacute;n de la sangre y el incremento de la sensibilidad en las terminaciones nerviosas, intensificando as&iacute; las sensaciones de placer.<br />
	Con todas estas propiedades, Secret Play lo ha utilizado como base para su nueva l&iacute;nea de lubricantes naturales &quot;Plus Plaisir&quot;, con aromas de diversas frutas que proporcionan un cocktail de placer, fragancia y salud. Este lubricante es ideal para estimular y prolongar la relaci&oacute;n de pareja.<br />
	<br />
	Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico. Compatible con el uso de preservativos.<br />
	<br />
	Aroma a canela.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_PLUS_PLAISIR_LUBRICANTE_CON_ALOE_VERA_CANELA.jpg"~"19.65"~9~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17293~"Active"~"SECRET PLAY PLUS PLAISIR LUBRICANTE CON ALOE VERA MOCA"~"<p>
	El ALOE VERA es conocida como la planta de la salud y la belleza. Su uso est&aacute; documentado desde la &eacute;poca del antiguo Egipto.</p>
<p>
	Es muy beneficioso en t&eacute;rminos medicinales y terap&eacute;uticos y una especie que posee innumerables propiedades regeneradoras, hidratantes y nutritivas. Rico en &aacute;cidos grasos, es un excelente lubricante natural que aumenta adem&aacute;s la potencia sexual. Sus propiedades estimulantes provocan la activaci&oacute;n de la circulaci&oacute;n de la sangre y el incremento de la sensibilidad en las terminaciones nerviosas, intensificando as&iacute; las sensaciones de placer. Con todas estas propiedades, Secret Play lo ha utilizado como base para su nueva l&iacute;nea de lubricantes naturales &quot;Plus Plaisir&quot;, con aromas de diversas frutas que proporcionan un cocktail de placer, fragancia y salud. Este lubricante es ideal para estimular y prolongar la relaci&oacute;n de pareja.<br />
	<br />
	Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico. Compatible con el uso de preservativos.<br />
	<br />
	Aroma a moca.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_PLUS_PLAISIR_LUBRICANTE_CON_ALOE_VERA_MOCA.jpg"~"19.65"~16~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17294~"Active"~"SECRET PLAY PLUS PLAISIR LUBRICANTE CON ALOE VERA CHOCOLATE"~"<p>
	El ALOE VERA es conocida como la planta de la salud y la belleza. Su uso est&aacute; documentado desde la &eacute;poca del antiguo Egipto.</p>
<p>
	Es muy beneficioso en t&eacute;rminos medicinales y terap&eacute;uticos y una especie que posee innumerables propiedades regeneradoras, hidratantes y nutritivas. Rico en &aacute;cidos grasos, es un excelente lubricante natural que aumenta adem&aacute;s la potencia sexual. Sus propiedades estimulantes provocan la<br />
	activaci&oacute;n de la circulaci&oacute;n de la sangre y el incremento de la sensibilidad en las terminaciones nerviosas, intensificando as&iacute; las sensaciones de placer. Con todas estas propiedades, Secret Play lo ha utilizado como base para su nueva l&iacute;nea de lubricantes naturales &quot;Plus Plaisir&quot;, con aromas de diversas frutas que proporcionan un cocktail de placer, fragancia y salud. Este lubricante es ideal para estimular y prolongar la relaci&oacute;n de pareja.<br />
	<br />
	Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico. Compatible con el uso de preservativos.<br />
	<br />
	Aroma a chocolate.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_PLUS_PLAISIR_LUBRICANTE_CON_ALOE_VERA_CHOCOLATE.jpg"~"19.65"~22~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17295~"Active"~"SECRET PLAY PLUS PLAISIR LUBRICANTE CON ALOE VERA FRESA"~"4<p>
	El ALOE VERA es conocida como la planta de la salud y la belleza. Su uso est&aacute; documentado desde la &eacute;poca del antiguo Egipto.</p>
<p>
	Es muy beneficioso en t&eacute;rminos medicinales y terap&eacute;uticos y una especie que posee innumerables propiedades regeneradoras, hidratantes y nutritivas. Rico en &aacute;cidos grasos, es un excelente lubricante natural que aumenta adem&aacute;s la potencia sexual. Sus propiedades estimulantes provocan la activaci&oacute;n de la circulaci&oacute;n de la sangre y el incremento de la sensibilidad en las terminaciones nerviosas, intensificando as&iacute; las sensaciones de placer. Con todas estas propiedades, Secret Play lo ha utilizado como base para su nueva l&iacute;nea de lubricantes naturales &quot;Plus Plaisir&quot;, con aromas de diversas frutas que proporcionan un cocktail de placer, fragancia y salud. Este lubricante es ideal para estimular y prolongar la relaci&oacute;n de pareja.<br />
	<br />
	Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico. Compatible con el uso de preservativos.<br />
	<br />
	Aroma a fresa.<br />
	<br />
	Envase de 50 ml.</p>
"~"products/SECRET_PLAY_PLUS_PLAISIR_LUBRICANTE_CON_ALOE_VERA_FRESA.jpg"~"19.65"~11~"0.5"~~"ACEITES Y LUBRICANTES"~~"LUBRICANTES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17296~"Active"~"SECRET PLAY PLUS SENSUEL ACEITE DE MASAJE CON CAVIAR VAINILLA Y CANELA"~"<p>
	EL CAVIAR, extra&iacute;do de huevas de esturi&oacute;n, posee una enorme cantidad de sustancias nutritivas que funcionan como regeneradores naturales.</p>
<p>
	Adem&aacute;s, estimula las hormonas del deseo sexual. Sus propiedades afrodis&iacute;acas se remontan a tiempos de la<br />
	mitolog&iacute;a: era lo que com&iacute;a Venus antes de sus t&oacute;rridos encuentros con Marte. Secret Play consciente de su esplendido potencial nutricional y afrodis&iacute;aco, cuando es aplicado sobre la piel, lanza la mercado la l&iacute;nea &quot;Plus Sensuel&quot;: a base de caviar, aceite de almendra, vitamina E, y una cuidada mezcla de aromas, que en su conjunto le confieren una textura sutil y deslizante, que permite, a rav&eacute;s del masaje, la estimulaci&oacute;n de todos los sentidos. Es ideal para compartir el placer, al mismo tiempo que proporcionar&aacute; a su piel un aspecto satinado, renovando las capas desgastadas y eliminando la fatiga.<br />
	<br />
	Para uso externo. Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico.<br />
	<br />
	Aroma a vainilla y canela<br />
	<br />
	Envase de 250 ml.</p>
"~"products/SECRET_PLAY_PLUS_SENSUEL_ACEITE_DE_MASAJE_CON_CAVIAR_VAINILLA_Y_CANELA.jpg"~"26.85"~13~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17297~"Active"~"SECRET PLAY PLUS SENSUEL ACEITE DE MASAJE CON CAVIAR AFRODISIACO"~"<p>
	EL CAVIAR, extra&iacute;do de huevas de esturi&oacute;n, posee una enorme cantidad de sustancias nutritivas que funcionan como regeneradores naturales. Adem&aacute;s, estimula las hormonas del deseo sexual.</p>
<p>
	Sus propiedades afrodis&iacute;acas se remontan a tiempos de la mitolog&iacute;a: era lo que com&iacute;a Venus antes de sus t&oacute;rridos encuentros con Marte.</p>
<p>
	Secret Play consciente de su esplendido potencial nutricional y afrodis&iacute;aco, cuando es aplicado sobre la piel, lanza la mercado la l&iacute;nea &quot;Plus Sensuel&quot;: a base de caviar, aceite de almendra, vitamina E, y una cuidada mezcla de aromas, que en su conjunto le confieren una textura sutil y deslizante, que permite, a trav&eacute;s del masaje, la estimulaci&oacute;n de todos los sentidos.<br />
	Es ideal para compartir el placer, al mismo tiempo que proporcionar&aacute; a su piel un aspecto satinado, renovando las capas desgastadas y eliminando la fatiga.<br />
	<br />
	Para uso externo. Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico.<br />
	<br />
	Envase de 250 ml.</p>
"~"products/SECRET_PLAY_PLUS_SENSUEL_ACEITE_DE_MASAJE_CON_CAVIAR_AFRODISIACO.jpg"~"26.85"~23~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17298~"Active"~"SECRET PLAY PLUS SENSUEL ACEITE DE MASAJE CON CAVIAR FRESA Y CAVA"~"<p>
	EL CAVIAR, extra&iacute;do de huevas de esturi&oacute;n, posee una enorme cantidad de sustancias nutritivas que funcionan como regeneradores naturales. Adem&aacute;s, estimula las hormonas del deseo sexual.</p>
<p>
	Sus propiedades afrodis&iacute;acas se remontan a tiempos de la mitolog&iacute;a: era lo que com&iacute;a Venus antes de sus t&oacute;rridos encuentros con Marte.</p>
<p>
	Secret Play consciente de su esplendido potencial nutricional y afrodis&iacute;aco, cuando es aplicado sobre la piel, lanza la mercado la l&iacute;nea &quot;Plus Sensuel&quot;: a base de caviar, aceite de almendra, vitamina E, y una cuidada mezcla de aromas, que en su conjunto le confieren una textura sutil y deslizante, que permite, a trav&eacute;s del masaje, la estimulaci&oacute;n de todos los sentidos. Es ideal para compartir el placer, al mismo tiempo que proporcionar&aacute; a su piel un aspecto satinado, renovando las capas desgastadas y eliminando la fatiga.<br />
	<br />
	Para uso externo. Dermatol&oacute;gicamente probado. Hipoal&eacute;rgico.<br />
	<br />
	Aroma a fresa y cava.<br />
	<br />
	Envase de 250 ml.</p>
"~"products/SECRET_PLAY_PLUS_SENSUEL_ACEITE_DE_MASAJE_CON_CAVIAR_FRESA_Y_CAVA.jpg"~"26.85"~3~"0.5"~~"ACEITES Y LUBRICANTES"~~"ACEITES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17299~"Active"~"SECRET PLAY INFINITO PRAZER VIBRADOR AMARILLO"~"<p>
	Vibrador potente y fabricado en silicona.<br />
	<br />
	Este vibrador es muy f&aacute;cil de utilizar, ya que solamente hace falta accionar un bot&oacute;n que hay en la parte inferior.<br />
	<br />
	Dise&ntilde;ado especialmente para la estimulaci&oacute;n del Punto G.<br />
	<br />
	El material de este vibrador es suave como la seda e inodoro, y no tiene ninguna costura.</p>
<p>
	Las siliconas tienen un tacto suave como la piel, se calientan r&aacute;pidamente y mantienen el calor mucho tiempo. El material es no poroso, hipoalerg&eacute;nico, no lleva plastificantes y se puede limpiar f&aacute;cilmente con agua tibia y un jab&oacute;n suave.<br />
	<br />
	Medidas: 10,5 cm x 3 cm.<br />
	<br />
	Funciona con 2 pilas AAA que van incluidas.</p>
"~"products/SECRET_PLAY_INFINITO_PRAZER_VIBRADOR_AMARILLO.jpg"~"41.25"~17~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17300~"Active"~"SECRET PLAY INFINITO PRAZER VIBRADOR LILA"~"<p>
	Vibrador potente y fabricado en silicona.<br />
	<br />
	Este vibrador es muy f&aacute;cil de utilizar, ya que solamente hace falta accionar un bot&oacute;n que hay en la parte inferior.<br />
	Dise&ntilde;ado especialmente para la estimulaci&oacute;n del Punto G.<br />
	<br />
	El material de este vibrador es suave como la seda e inodoro, y no tiene ninguna costura.<br />
	Las siliconas tienen un tacto suave como la piel, se calientan r&aacute;pidamente y mantienen el calor mucho tiempo.</p>
<p>
	El material es no poroso, hipoalerg&eacute;nico, no lleva plastificantes y se puede limpiar f&aacute;cilmente con agua tibia y un jab&oacute;n suave.<br />
	<br />
	Medidas: 10,5 cm x 3 cm.<br />
	<br />
	Funciona con 2 pilas AAA que van incluidas.</p>
"~"products/SECRET_PLAY_INFINITO_PRAZER_VIBRADOR_LILA.jpg"~"41.25"~19~"0.5"~~"JUGUETES XXX"~~"VIBRADORES"~"SECRET PLAY"~"IVA (Normal)"~"EOREOR"
17301~"Active"~"SECRET PLAY INFINITO PRAZER VIBRADOR ROSA"~"<p>
	Vibrador potente y fabricado en silicona.<br />
	<br />
